diseases	frequency
Bacterial enteritis|p008.5	0.011261535033073004
Intestinal infection due to C. difficile|p008.52	0.0033148975395305962
Viral Enteritis|p008.6	0.0038391021160644645
Intestinal infection due to protozoa|p008.7	0.00023804459031006575
Septicemia|p038	0.029036375239310786
Bacterial infection NOS|p041	0.04361787259043162
Herpes zoster|p053	0.002327265728669685
Herpes zoster with nervous system complications|p053.1	0.0006280325361371947
Herpes simplex|p054	0.0008964657975506731
Viral hepatitis|p070	0.0027856281844794925
Viral hepatitis A|p070.1	0.0002836275969651847
Viral hepatitis B|p070.2	0.0009217896901368503
Viral hepatitis C|p070.3	0.0012231440119123591
Chronic hepatitis|p070.4	0.0011750286159986224
Hepatitis NOS|p070.9	0.0012383383474640654
Viral warts & HPV|p078	0.004419019256287923
Viral infection|p079	0.009663597410885221
Varicella infection|p079.1	0.00023804459031006575
Infectious mononucleosis|p079.2	0.00022538264401697714
Viremia NOS|p079.9	0.007108416648939942
Postoperative infection|p080	0.017749516313651605
Infection/inflammation of internal prosthetic device  implant  and graft|p081	0.010858885140952786
Sexually transmitted infections (not HIV or hepatitis)|p090	0.00015447574477568096
Burns|p1000	0.0018562413265667892
Foreign body injury|p1001	0.004302529350391508
Symptoms concerning nutrition metabolism and development|p1002	0.032214523758876026
Other signs and symptoms involving emotional state|p1004	0.003834037337547229
Crushing injury|p1006	0.0006558888179819896
Injury to blood vessels|p1007	0.00034440493917201
Crushing or internal injury to organs|p1008	0.0008458180123783187
Injury NOS|p1009	0.00542184540270054
Other tests|p1010	0.01579704419525734
Complications of surgical and medical procedures|p1011	0.03479502841340748
Late effect|p1012	0.00018992919439632906
Asphyxia and hypoxemia|p1013	0.0017524133669634626
Effects of heat cold and air pressure|p1014	0.0001975263621721822
Effects of other external causes|p1015	0.010613243382866868
Other ill-defined and unknown causes of morbidity and mortality|p1019	0.06536856393269923
Dermatophytosis / Dermatomycosis|p110	0.0016283262932911943
Dermatophytosis|p110.1	0.001332036750032921
Dermatophytosis of nail|p110.11	0.0004203766169305416
Althete's foot|p110.12	0.0006330973146544301
Dermatophytosis of the body|p110.13	0.00022791503327559485
Dermatomycoses|p110.2	0.00032161343584445054
Candidiasis|p112	0.009716777585316194
Candidiasis of skin and nails|p112.3	0.0002709656506720961
Mycoses|p117	0.0013750873674294223
Aspergillosis|p117.4	0.0008382208446024655
Spirochetal infection|p130	0.0003595992747237163
Lyme disease|p130.1	0.00016460530181015184
Protozoan infection|p131	6.837450998267846e-05
Infestation (lice mites)|p132	0.00020512352994803536
Arthropod-borne diseases|p133	0.0005849819187406935
Helminthiases|p134	0.0006330973146544301
Intestinal helminthiases|p134.1	0.0005292693550511036
Other infectious and parasitic diseases|p136	0.0004305061739650125
Cancer of mouth|p145	0.002919844815186232
Cancer of lip|p145.1	0.00021778547624112397
Cancer of tongue|p145.2	0.0014080084277914527
Cancer of major salivary glands|p145.3	0.00054446369060281
Cancer of the gums|p145.4	0.00017979963736185816
Cancer of larynx pharynx nasal cavities|p149	0.003018607996272323
Cancer of oropharynx|p149.1	0.001187690562291711
Cancer of nasopharynx|p149.2	0.00016460530181015184
Cancer of larynx|p149.4	0.0010737330456539135
Cancer of of nasal cavities|p149.9	0.0003925203350857467
Cancer of intrathoracic organs|p164	0.0002709656506720961
Cancer within the respiratory system|p165	0.01579957658451596
Cancer of bronchus  lung|p165.1	0.012428966481295774
Cancer of bone and connective tissue|p170	0.002084156359842384
Bone cancer|p170.1	0.0007116013816715795
Cancer of connective tissue|p170.2	0.0014383970988948653
Skin cancer|p172	0.03929761651522979
Melanomas of skin dx or hx|p172.1	0.010284032779246563
Melanomas of skin|p172.11	0.010284032779246563
Other non-epithelial cancer of skin|p172.2	0.028193089616191085
Basal cell carcinoma|p172.21	0.00016967008032738729
Squamous cell carcinoma|p172.22	0.00013168424144812147
Carcinoma in situ of skin|p172.3	0.003915073793822996
Neoplasm of uncertain behavior of skin|p173	0.000597643865033782
Cancer of urinary organs (incl. kidney and bladder)|p189	0.016306054436239503
Cancer of kidney and renal pelvis|p189.1	0.005176203644614621
Malignant neoplasm of kidney except pelvis|p189.11	0.004953353389856262
Malignant neoplasm of renal pelvis|p189.12	0.0003646640532409518
Cancer of bladder|p189.2	0.010891806201314816
Malignant neoplasm of bladder|p189.21	0.009729439531609282
Malignant neoplasm of other urinary organs|p189.4	0.0011446399448952096
Cancer of eye|p190	0.0008179617305335237
Manlignant and unknown neoplasms of brain and nervous system|p191	0.0034313874454270114
Cancer of brain and nervous system|p191.1	0.0027856281844794925
Cancer of brain|p191.11	0.0025982313793417814
Thyroid cancer|p193	0.0017372190314117564
Cancer of other endocrine glands|p194	0.0004051822813788353
Myeloproliferative disease|p200	0.004971080114666585
Polycythemia vera|p200.1	0.001686571246239402
Hodgkin's disease|p201	0.0010180204819643236
Cancer of other lymphoid histiocytic tissue|p202	0.008242927036800681
Non-Hodgkins lymphoma|p202.2	0.008207473587180032
Nodular lymphoma|p202.21	0.0015802108973774576
Large cell lymphoma|p202.24	0.0029249095937034673
Leukemia|p204	0.008645576928920899
Lymphoid leukemia|p204.1	0.0027982901307725813
Lymphoid leukemia acute|p204.11	0.0002937571539996556
Lymphoid leukemia chronic|p204.12	0.002441223245307483
Myeloid leukemia|p204.2	0.002263955997204242
Myeloid leukemia acute|p204.21	0.001605534789963635
Monocytic leukemia|p204.3	0.00026083609363762524
Multiple myeloma|p204.4	0.00318827807659971
Benign neoplasm of colon|p208	0.10305811326870676
Benign neoplasm of lip oral cavity and pharynx|p210	0.0035022943446683078
Benign neoplasm of other parts of digestive system|p211	0.029125008863362407
Benign neoplasm of respiratory and intrathoracic organs|p212	0.0014839801055499843
Lipoma|p214	0.02277630899200778
Lipoma of skin and subcutaneous tissue|p214.1	0.015895807376343433
Other benign neoplasm of connective and other soft tissue|p215	0.0021246745879802678
Benign neoplasm of skin|p216	0.021034025182078787
Vascular hamartomas and non-neoplastic nevi|p217	0.00266660588932446
Nevus non-neoplastic|p217.1	0.0024994681982556904
Benign neoplasm of eye|p224	0.0007293281064819036
Benign neoplasm of eye uveal|p224.1	0.0004634272343270429
Benign neoplasm of brain and other parts of nervous system|p225	0.003920138572340232
Benign neoplasm of brain cranial nerves meninges|p225.1	0.003707417874616343
Benign neoplasm of spinal cord meninges|p225.2	0.00022791503327559485
Benign neoplasm of thyroid glands|p226	0.0010408119852918832
Benign neoplasm of other endocrine glands and related structures|p227	0.004692517296218637
Benign neoplasm of adrenal gland|p227.1	0.00123327356894683
Benign neoplasm of parathyroid gland|p227.2	0.0019372777828425562
Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)|p227.3	0.0015295631122051033
Hemangioma and lymphangioma any site|p228	0.006569017736854367
Benign neoplasm of unspecified sites|p229	0.0008027673949818175
Hypothyroidism|p244	0.06713363924595578
Hypothyroidism NOS|p244.4	0.06381114453864932
Diabetes mellitus|p250	0.0935743154951834
Type 2 diabetes|p250.2	0.09067979457258334
Disorders of parathyroid gland|p252	0.0051534121412870615
Hyperparathyroidism|p252.1	0.0045734950010636035
Hypoparathyroidism|p252.2	0.0010863949919470023
Disorders of the pituitary gland and its hypothalamic control|p253	0.003608654693530252
Pituitary hyperfunction|p253.1	0.0007191985494474326
Acromegaly and gigantism|p253.11	0.00033427538213753915
Pituitary hypofunction|p253.2	0.001187690562291711
Diabetes insipidus|p253.3	0.0003697288317581872
Other disorders of neurohypophysis|p253.7	0.0013092452467053615
Diseases of thymus gland|p254	0.00010129557034470882
Disorders of adrenal glands|p255	0.002975557378875822
Adrenal hyperfunction|p255.1	0.000815429341274906
Cushing's syndrome|p255.11	0.000453297677292572
Hyperaldosteronism|p255.12	0.00034440493917201
Adrenal hypofunction|p255.2	0.001169963837481387
Glucocorticoid deficiency|p255.21	0.001169963837481387
Adrenogenital disorders|p255.3	6.837450998267846e-05
Iatrogenic endocrine disorders|p258	0.00044316812025810114
Other endocrine disorders|p259	0.0006432268716889011
Carcinoid syndrome|p259.2	0.00017473485884462274
Protein-calorie malnutrition|p260	0.0015371602799809565
Cachexia|p260.1	0.00043810334174086566
severe protein-calorie malnutrition|p260.2	8.61012347930025e-05
Anorexia|p260.6	0.005226851429786975
Vitamin deficiency|p261	0.016880906797945724
Vitamin B-complex deficiencies|p261.2	0.007088157534871
Vitamin D deficiency|p261.4	0.010534739315849717
Mineral deficiency NEC|p262	0.002375381124583422
Other nutritional deficiency|p263	0.00017726724810324045
Proteinuria|p269	0.00137761975668804
Disorders of protein plasma/amino-acid transport and metabolism|p270	0.0027881605737381104
Disturbances of amino-acid transport|p270.1	0.00015447574477568096
Disorders of amino-acid metabolism|p270.2	5.8244952948207574e-05
Disorders of plasma protein metabolism|p270.3	0.0025754398760142218
Polyclonal hypergammaglobulinemia|p270.31	8.356884553438479e-05
Paraproteinemia|p270.32	0.0022259701583249763
Amyloidosis|p270.33	0.0009775022538264402
Macroglobulinemia|p270.35	0.0003646640532409518
Disorders of carbohydrate transport and metabolism|p271	0.0008078321734990529
Intestinal disaccharidase deficiencies and disaccharide malabsorption|p271.3	0.0007141337709301972
Other disorders of carbohydrate transport and metabolism|p271.9	9.369840256885566e-05
Disorders of lipoid metabolism|p272	0.16954092847519778
Hyperlipidemia|p272.1	0.1687558878050263
Hypercholesterolemia|p272.11	0.15651938290738546
Gout and other crystal arthropathies|p274	0.01638709089251527
Gout|p274.1	0.016037621174826024
Gouty arthropathy|p274.11	0.0005393989120855745
Crystal arthropathies|p274.2	0.0004178442276719239
Chondrocalcinosis|p274.21	0.00026590087215486066
Disorders of mineral metabolism|p275	0.015999635335946758
Disorders of iron metabolism|p275.1	0.0031148387880997963
Disorders of copper metabolism|p275.2	9.369840256885566e-05
Disorders of magnesium metabolism|p275.3	0.005480090355648747
Disorders of calcium/phosphorus metabolism|p275.5	0.008784858338144873
Disorders of fluid electrolyte and acid-base balance|p276	0.05585437748807245
Electrolyte imbalance|p276.1	0.03837582682509294
Hypovolemia|p276.5	0.0224648251131978
Other disorders of metabolism|p277	0.005837157241113846
Disorders of porphyrin metabolism|p277.1	7.850406701714934e-05
Disorders of bilirubin excretion|p277.4	0.0020790915813251485
Other disorders of lipoid metabolism|p277.5	0.0007394576635163744
Lipoprotein disorders|p277.51	0.00026336848289624295
Other deficiencies of circulating enzymes|p277.6	6.077734220682529e-05
Overweight obesity and other hyperalimentation|p278	0.07624264340920371
Obesity|p278.1	0.07585772024189383
Disorders involving the immune mechanism|p279	0.0013396339178087743
Immunity deficiency|p279.1	0.0011167836630504148
Deficiency of humoral immunity|p279.11	0.0008128969520162883
Other immunological findings|p279.7	0.0010585387101022072
Other specified disorders involving the immune mechanism|p279.8	6.077734220682529e-05
Other anemias|p285	0.06409983691413175
Coagulation defects|p286	0.004335450410753537
Congenital coagulation defects|p286.1	0.0017929315951013462
Von willebrand's disease|p286.11	0.00044063573099948337
Congenital deficiency of other clotting factors (including factor VII)|p286.12	0.0011041217167573262
Congenital factor VIII disorder|p286.13	0.00023804459031006575
Acquired coagulation factor deficiency|p286.4	6.077734220682529e-05
Hemorrhagic disorder due to intrinsic circulating anticoagulants|p286.5	0.00032161343584445054
Defibrination syndrome|p286.6	0.00020259114068941765
Other and unspecified coagulation defects|p286.7	0.0016663121321704602
Hypercoagulable state|p286.8	0.0009344516364299389
Primary hypercoagulable state|p286.81	0.0009344516364299389
Purpura and other hemorrhagic conditions|p287	0.01024351455110868
Spontaneous ecchymoses|p287.1	0.000660953596499225
Allergic purpura|p287.2	0.00017979963736185816
Thrombocytopenia|p287.3	0.009450876713161334
Primary thrombocytopenia|p287.31	0.001960069286170116
Secondary thrombocytopenia|p287.32	0.0005039454624649264
Diseases of white blood cells|p288	0.002709656506720961
Decreased white blood cell count|p288.1	0.015518481376809392
Neutropenia|p288.11	0.015518481376809392
Eosinophilia|p288.3	0.00044570050951671885
Other diseases of blood and blood-forming organs|p289	0.005105296745373325
Myelofibrosis|p289.1	0.0003646640532409518
Personal history of diseases of blood and blood-forming organs|p289.3	0.002228502547583594
Lymphadenitis|p289.4	0.013019013178553702
Diseases of spleen|p289.5	0.0028134844663242876
Polycythemia secondary|p289.8	0.0016384558503256652
Abnormality of red blood cells|p289.9	0.0003950527243443644
Delirium dementia and amnestic and other cognitive disorders|p290	0.016665653710963218
Dementias|p290.1	0.011575551301141601
Alzheimer's disease|p290.11	0.006103058113268707
Dementia with cerebral degenerations|p290.12	0.0005191397980166328
Senile dementia|p290.13	0.007422432917008539
Other persistent mental disorders due to conditions classified elsewhere|p290.3	8.61012347930025e-05
Other specified nonpsychotic and/or transient mental disorders|p291	0.0026514115537727536
Alteration of consciousness|p291.8	0.002519727312324632
Neurological disorders|p292	0.025559404787228655
Aphasia/speech disturbance|p292.1	0.00591059652961376
Memory loss|p292.3	0.004036628478236647
Altered mental status|p292.4	0.01637442894622218
Hallucinations|p292.6	0.00212214219872165
Symptoms involving head and neck|p293	0.006956473293422878
Swelling mass or lump in head and neck Space-occupying lesion intracranial NOS|p293.1	0.0038846851227195833
Mood disorders|p296	0.06740207250736925
Depression|p296.2	0.06511026022832021
Major depressive disorder|p296.22	0.06490513669837218
Conduct disorders|p312	8.356884553438479e-05
Pervasive developmental disorders|p313	0.0007090689924129618
Attention deficit hyperactivity disorder|p313.1	8.863362405162022e-05
Autism|p313.3	0.0004811539591373669
Develomental delays and disorders|p315	0.00335541576766848
Learning disorder|p315.1	0.0007774435023956402
Speech and language disorder|p315.2	0.0005115426302407796
