FieldID	Field
x3_0_0	Verbal interview duration|x3_0_0
x4_0_0	Biometrics duration|x4_0_0
x5_0_0	Sample collection duration|x5_0_0
x6_0_0	Conclusion duration|x6_0_0
x19_0_0	Heel ultrasound method|x19_0_0
x21_0_0	Weight method|x21_0_0
x23_0_0	Spirometry method|x23_0_0
x31_0_0	Sex|x31_0_0
x33_0_0	Date of birth|x33_0_0
x34_0_0	Year of birth|x34_0_0
x35_0_0	Was blood sampling attempted|x35_0_0
x46_0_0	Hand grip strength (left)|x46_0_0
x47_0_0	Hand grip strength (right)|x47_0_0
x48_0_0	Waist circumference|x48_0_0
x49_0_0	Hip circumference|x49_0_0
x50_0_0	Standing height|x50_0_0
x51_0_0	Seated height|x51_0_0
x52_0_0	Month of birth|x52_0_0
x53_0_0	Date of attending assessment centre|x53_0_0
x54_0_0	UK Biobank assessment centre|x54_0_0
x55_0_0	Month of attending assessment centre|x55_0_0
x62_0_0	Willing to attempt cognitive tests|x62_0_0
x68_0_0	Number of blood samples taken|x68_0_0
x74_0_0	Fasting time|x74_0_0
x77_0_0	Heel bone ultrasound T-score manual entry|x77_0_0
x78_0_0	Heel bone mineral density (BMD) T-score automated|x78_0_0
x84_0_0	Cancer year/age first occurred|x84_0_0
x87_0_0	Non-cancer illness year/age first occurred|x87_0_0
x92_0_0	Operation year/age first occurred|x92_0_0
x93_0_0	Systolic blood pressure manual reading|x93_0_0
x94_0_0	Diastolic blood pressure manual reading|x94_0_0
x95_0_0	Pulse rate (during blood-pressure measurement)|x95_0_0
x96_0_0	Time since interview start at which blood pressure screen(s) shown|x96_0_0
x102_0_0	Pulse rate automated reading|x102_0_0
x111_0_0	Aide-memoire completed|x111_0_0
x115_0_0	Father's month of birth|x115_0_0
x117_0_0	Mother's month of birth|x117_0_0
x118_0_0	Mother's day of birth|x118_0_0
x120_0_0	Birth weight known|x120_0_0
x129_0_0	Place of birth in UK - north co-ordinate|x129_0_0
x130_0_0	Place of birth in UK - east co-ordinate|x130_0_0
x132_0_0	Job code at visit - entered|x132_0_0
x134_0_0	Number of self-reported cancers|x134_0_0
